Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country;
Khanyi M,2019-03-18 15:57:11,00:00:27,Autoplayed: user action: Unspecified; ,What's Wrong with Secretary Kim: Season 1: Episode 4,,Chrome PC (Cadmium),00:08:52,Not latest view,ZA (South Africa)
Khanyi M,2019-03-17 18:00:07,00:07:46,,What's Wrong with Secretary Kim: Season 1: Episode 4,,Android DefaultWidevineL3Phone Android Phone,00:08:25,Not latest view,ZA (South Africa);
Khanyi M,2019-03-17 16:49:49,00:47:35,,What's Wrong with Secretary Kim: Season 1: Episode 3,,Android DefaultWidevineL3Phone Android Phone,01:04:16,01:04:16,ZA (South Africa);
Khanyi M,2019-03-17 16:12:35,00:17:45,,What's Wrong with Secretary Kim: Season 1: Episode 3,,Android DefaultWidevineL3Phone Android Phone,00:18:30,Not latest view,ZA (South Africa);
Khanyi M,2019-03-17 15:53:40,00:18:42,,What's Wrong with Secretary Kim: Season 1: Episode 2,,Android DefaultWidevineL3Phone Android Phone,01:02:44,01:02:44,ZA (South Africa);
Khanyi M,2019-03-17 15:03:39,00:44:24,,What's Wrong with Secretary Kim: Season 1: Episode 2,,Android DefaultWidevineL3Phone Android Phone,00:44:48,Not latest view,ZA (South Africa);
Khanyi M,2019-03-17 14:33:52,00:28:41,,What's Wrong with Secretary Kim: Season 1: Episode 1,,Android DefaultWidevineL3Phone Android Phone,01:02:52,Not latest view,ZA (South Africa);
Khanyi M,2019-03-17 12:54:13,00:28:38,,What's Wrong with Secretary Kim: Season 1: Episode 1,,Android DefaultWidevineL3Phone Android Phone,00:35:17,Not latest view,ZA (South Africa);
Khanyi M,2019-03-17 12:47:40,00:04:56,,What's Wrong with Secretary Kim: Season 1: Episode 1,,Android DefaultWidevineL3Phone Android Phone,00:07:11,Not latest view,ZA (South Africa);
Khanyi M,2019-03-17 12:37:29,00:03:53,,What's Wrong with Secretary Kim: Season 1: Episode 1,,Android DefaultWidevineL3Phone Android Phone,00:03:50,Not latest view,ZA (South Africa);
Khanyi M,2019-03-17 11:54:54,00:00:08,,Dynasty: Season 1: Nothing But Trouble (Episode 13),,Android DefaultWidevineL3Phone Android Phone,00:13:45,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 22:01:54,00:12:47,,Dynasty: Season 1: Nothing But Trouble (Episode 13),,Android DefaultWidevineL3Phone Android Phone,00:13:41,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 21:30:37,00:31:00,,Dynasty: Season 1: Promises You Can’t Keep (Episode 12),,Android DefaultWidevineL3Phone Android Phone,00:42:12,00:42:12,ZA (South Africa);
Khanyi M,2019-03-16 18:40:18,00:12:12,,Dynasty: Season 1: Promises You Can’t Keep (Episode 12),,Android DefaultWidevineL3Phone Android Phone,00:11:27,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 18:14:45,00:25:30,,Dynasty: Season 1: I Answer to No Man (Episode 11),,Android DefaultWidevineL3Phone Android Phone,00:42:13,00:42:13,ZA (South Africa);
Khanyi M,2019-03-16 17:48:43,00:15:54,,Dynasty: Season 1: I Answer to No Man (Episode 11),,Android DefaultWidevineL3Phone Android Phone,00:16:45,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 17:43:16,00:05:21,,Dynasty: Season 1: A Well Dressed Tarantula (Episode 10),,Android DefaultWidevineL3Phone Android Phone,00:42:12,00:42:12,ZA (South Africa);
Khanyi M,2019-03-16 16:43:50,00:36:40,,Dynasty: Season 1: A Well Dressed Tarantula (Episode 10),,Android DefaultWidevineL3Phone Android Phone,00:36:53,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 16:36:19,00:07:33,,Dynasty: Season 1: Rotten Things (Episode 9),,Android DefaultWidevineL3Phone Android Phone,00:41:58,00:41:58,ZA (South Africa);
Khanyi M,2019-03-16 10:57:56,00:13:17,,Dynasty: Season 1: Rotten Things (Episode 9),,Android DefaultWidevineL3Phone Android Phone,00:35:37,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 10:34:06,00:04:34,,Dynasty: Season 1: Rotten Things (Episode 9),,Android DefaultWidevineL3Phone Android Phone,00:22:21,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 09:49:13,00:17:13,,Dynasty: Season 1: Rotten Things (Episode 9),,Android DefaultWidevineL3Phone Android Phone,00:17:50,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 09:34:29,00:14:36,,Dynasty: Season 1: The Best Things in Life (Episode 8),,Android DefaultWidevineL3Phone Android Phone,00:42:13,00:42:13,ZA (South Africa);
Khanyi M,2019-03-16 09:00:38,00:26:45,,Dynasty: Season 1: The Best Things in Life (Episode 8),,Android DefaultWidevineL3Phone Android Phone,00:27:43,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 08:45:05,00:15:29,,Dynasty: Season 1: A Taste of Your Own Medicine (Episode 7),,Android DefaultWidevineL3Phone Android Phone,00:41:28,00:41:28,ZA (South Africa);
Khanyi M,2019-03-16 08:11:13,00:22:42,,Dynasty: Season 1: A Taste of Your Own Medicine (Episode 7),,Android DefaultWidevineL3Phone Android Phone,00:26:05,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 08:10:55,00:00:06,,Dynasty: Season 1: A Taste of Your Own Medicine (Episode 7),,Android DefaultWidevineL3Phone Android Phone,00:06:40,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 07:58:15,00:03:00,,Dynasty: Season 1: A Taste of Your Own Medicine (Episode 7),,Android DefaultWidevineL3Phone Android Phone,00:03:53,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 07:25:02,00:31:39,,Dynasty: Season 1: I Only Exist for Me (Episode 6),,Android DefaultWidevineL3Phone Android Phone,00:40:33,00:40:33,ZA (South Africa);
Khanyi M,2019-03-16 06:26:26,00:07:35,,Dynasty: Season 1: I Only Exist for Me (Episode 6),,Android DefaultWidevineL3Phone Android Phone,00:09:00,Not latest view,ZA (South Africa);
Khanyi M,2019-03-16 06:19:54,00:06:20,,Dynasty: Season 1: Company Slut (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:42:12,00:42:12,ZA (South Africa);
Khanyi M,2019-03-16 05:02:28,00:17:30,,Dynasty: Season 1: Company Slut (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:37:03,Not latest view,ZA (South Africa);
Khanyi M,2019-03-15 13:28:53,00:18:57,,Dynasty: Season 1: Company Slut (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:19:42,Not latest view,ZA (South Africa);
Khanyi M,2019-03-14 23:02:50,00:00:01,,Dynasty: Season 1: Company Slut (Episode 5),,Android DefaultWidevineL3Phone Android Phone,00:00:51,Not latest view,ZA (South Africa);
Khanyi M,2019-03-14 22:16:37,00:40:34,,Dynasty: Season 1: Private as a Circus (Episode 4),,Android DefaultWidevineL3Phone Android Phone,00:41:37,00:41:37,ZA (South Africa);
Khanyi M,2019-03-14 22:09:56,00:06:38,,Dynasty: Season 1: Guilt Is for Insecure People (Episode 3),,Android DefaultWidevineL3Phone Android Phone,00:40:46,00:40:46,ZA (South Africa);
Khanyi M,2019-03-14 16:48:14,00:33:51,,Dynasty: Season 1: Guilt Is for Insecure People (Episode 3),,Android DefaultWidevineL3Phone Android Phone,00:34:14,Not latest view,ZA (South Africa);
Khanyi M,2019-03-14 16:38:04,00:09:46,,Dynasty: Season 1: Spit It Out (Episode 2),,Android DefaultWidevineL3Phone Android Phone,00:41:56,00:41:56,ZA (South Africa);
Khanyi M,2019-03-14 16:21:48,00:08:19,,Dynasty: Season 1: Spit It Out (Episode 2),,Android DefaultWidevineL3Phone Android Phone,00:32:51,Not latest view,ZA (South Africa);
Khanyi M,2019-03-14 03:37:21,00:23:59,,Dynasty: Season 1: Spit It Out (Episode 2),,Android DefaultWidevineL3Phone Android Phone,00:25:01,Not latest view,ZA (South Africa);
Khanyi M,2019-03-14 03:05:56,00:31:20,,Dynasty: Season 1: I Hardly Recognized You (Episode 1),,Android DefaultWidevineL3Phone Android Phone,00:42:43,00:42:43,ZA (South Africa);
Khanyi M,2019-03-13 20:16:53,00:11:31,,Dynasty: Season 1: I Hardly Recognized You (Episode 1),,Android DefaultWidevineL3Phone Android Phone,00:11:31,Not latest view,ZA (South Africa);
Khanyi M,2019-03-12 19:08:55,00:39:15,,Chef's Table: Volume 1: Niki Nakayama (Episode 4),,Android DefaultWidevineL3Phone Android Phone,00:38:57,00:38:57,ZA (South Africa);
Khanyi M,2019-03-12 18:54:50,00:13:43,,Chef's Table: Volume 1: Francis Mallmann (Episode 3),,Android DefaultWidevineL3Phone Android Phone,00:46:31,Not latest view,ZA (South Africa);
Khanyi M,2019-03-12 11:47:59,00:26:45,,Chef's Table: Volume 1: Francis Mallmann (Episode 3),,Android DefaultWidevineL3Phone Android Phone,00:40:37,Not latest view,ZA (South Africa);
Khanyi M,2019-03-04 17:44:59,00:10:23,,Chef's Table: Volume 1: Francis Mallmann (Episode 3),,Android DefaultWidevineL3Phone Android Phone,00:15:36,Not latest view,ZA (South Africa);
